PMID,DOI,STATUS
39528979,10.1186/s12885-024-13082-z,Checked vs Bib
NA,10.1038/s41598-025-01422-3,Checked vs Bib
NA,10.3760/cma.j.cn114452-20241017-00566,Checked vs Bib
39726021,10.1186/s13148-024-01804-w,Checked vs Bib
NA,10.11748/bjmyi.ssn.1006-1703.2025.10.008,Checked vs Bib
NA,10.1093/oncolo/oyae324,Checked vs Bib
39726021,10.1186/s13148-024-01804-w,Checked vs Bib
38448375,10.11817/j.issn.1672-7347.2023.230175,Checked vs Bib
39659794,10.3389/fonc.2024.1481626,Checked vs Bib
NA,10.12280/gjfckx.20250484,Checked vs Bib
NA,10.12677/acm.2024.1472146,Checked vs Bib
NA,10.1186/s12905-026-04285-6,Checked vs Bib
41239544,10.1002/ijc.70245,Checked vs Bib
40238123,10.1002/ijgo.70167,Checked vs Bib
38782754,10.3760/cma.j.cn12137-20231004-00630,Checked vs Bib
40204948,10.1038/s41416-025-03005-5,Checked vs Bib
39696066,10.1186/s12885-024-13299-y,Checked vs Bib
NA,10.13283/j.cnki.xdfckjz.2025.09.004,Checked vs Bib
NA,10.3389/fpubh.2025.1723553,Checked vs Bib
NA,10.1097/RD9.0000000000000132,Checked vs Bib
38611108,10.3390/cancers16071430,Checked vs Bib
NA,10.13885/j.issn.1000-2812.2024.07.004,Checked vs Bib
38841418,10.25259/Cytojournal_78_2023,Checked vs Bib
36973218,10.3760/cma.j.cn112137-20220929-02058,Checked vs Bib
41008854,10.3390/cancers17183010,Checked vs Bib
38107069,10.3389/fonc.2023.1289366,Checked vs Bib
41594150,10.3390/diagnostics16020174,Checked vs Bib
39043572,10.1136/ijgc-2024-005723,Checked vs Bib
NA,10.3760/cma.j.cn114452-20231115-00287,Checked vs Bib
NA,10.1136/ijgc-2024-ESGO.620,Checked vs Bib
